id_iklan,judul,deskripsi,merek,model,tahun,transmisi,jarak_tempuh,harga
947701168,BAIC BJ40 BJ 40 Plus 2.0 Turbo 4x4 AWD AT Biru 2025 NIK 2024 Like New,"[ B GANJIL SJN ]

BAIC BJ40 BJ 40 Plus 2.0 Turbo 4x4 AWD AT Biru Muda Pemakaian 2025 NIK 2024, PAJAK BULAN 5 (2026), ODOMETER VERY LOW 3RB PERAK KM

BONUS UPGRADE FOOTSTEP ELECTRIC & PER BELAKANG
GARANSI BAIC 3 TAHUN ATAU 100,000 KM

OTR KREDIT 455 JT
OTR CASH 525 JT

Spesifikasi :
* Tangan Pertama Dari Baru, Pribadi
* Engine 2.0 cc DOHC 221 Hp (380 Nm) Turbocharger
* 8 Speed Transmission Automatic 4x4
* Keyless Start Stop Engine
* Electric Retract Mirror
* Tilt & Telescopic Steering
* AC Digital Single Zone With Blower
* Audio Steering Switch
* MID Digital Cluster
* 10 Inch Infotainmenst System Intergration Apple Carplay & Android Auto With Command Control
* Electric Leather Seat
* Full LED System Headlamp With DRL, Foglamp LED
* LED Tail Light
* SRS Airbags, BA, ABS, HSA, VSC, COMPLETE SAFETY CAR
* Parking Camera, Parking Censor
* Electric Park Brake, Auto Hold Brake, Traction Control
* Kaca Film 3M
* Kunci Cadangan, Buku Manual, Buku Service Tersedia

Menerima Jual, Beli dan Tukar Tambah
Proses Kredit Bisa Dibantu ( Rumah Sewa dll S&K )
KTP Daerah Bisa Proses
Dijamin Tidak Bekas Banjir dan Tabrakan (General Check-Up Bengkel Resmi)

Minat Hubungi
Dede Focus Motor ( Call / WA )",baic,Lainnya,,Lainnya,0-5.000,455000000.0
946566136,DP RENDAH Daihatsu Sigra 1.2 R Bensin-AT 2020 FYNS,"""Daihatsu Sigra 1.2 R Bensin-AT 2020 Merah
.
Khusus Harga Kredit : Rp 111,000,000
Khusus Harga Cash : Rp 113,000,000
TDP : Rp 10,000,000
Angsuran 4 tahun : Rp Ask me
Angsuran 5 tahun : Rp Ask me
.
Nikmati Promo di OLXmobbi - Jual - Beli - Tukar Tambah
Tenor panjang cicilan pasti ringan dan dapatkan saldo digital hingga 1.500.000
Dapatkan juga TDP terendah Dan Promo Trade In Suka- Suka
 (Terima Mobil merek dan Tahun Apapun Tanpa Syarat)
*S&K berlaku
.
Keunggulan Unit :
- Astra Certified
- Bebas Tabrak
- Bebas Banjir
- Kilometer Tidak Putaran
.
Berikut Spesiffikasi
- Dokumen Lengkap 
- Odometer : 67,881 km
- Transmisi : AT
- Pajak : 01 Aug 2026
- Plat : 
- Warna : Merah
- KN : FYNS
.
Mohon lakukan pembayaran booking fee / pelunasan melalui no rekening Bank BCA an PT. Serasi Mitra Mobil No. Rek: 2061/888/995
TDP promo hanya Berlaku jika:
- BI checking Bersih (tidak pernah ada keterlambatan pembayaran)
- Rumah Milik Pribadi
- Pemasukan/Gaji= 3x Angsuran.
* Bisa di bantu Rumah Kontrak dan BI checking bermasalah dengan TDP 30%* (S&K Berlaku)
.
Mengapa Anda harus membeli mobil di OLXmobbi? 
- Garansi Mesin hingga 1 tahun
- Gratis Biaya Jasa Perawatan
- Ada 2.000+ pilihan mobil bekas Mobil Bekas Berkualitas, Mobil lulus inspeksi dan tersertifikasi
- FREE HOME TEST DRIVE,
- Pilih Mobil? Pilih Yang Pasti
.
Kunjungi Kami Di : 
OLXMOBBI DEPOK Jl. Margonda No.23, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431
.
Wisnu - Sales Advisor
OLXmobbi
Ahlinya Mobil Bekas Berkualitas
""",Daihatsu,Lainnya,,Lainnya,65.000-70.000,111000000.0
946463950,[ AWD - KM 2RB ] BYD Sealion 7 Performance 4.5s AT 2025/2026,"BELI MOBIL TANPA KHAWATIR BERGARANSI 5 TAHUN!

BYD Sealion 7 Performance AWD 4.5s AT Cosmos Black NIK 2025, PAJAK BULAN 6 (2027), ODOMETER VERY LOW 2RB PERAK KM

*WALL & PORTABLE CHARGER TERSEDIA*
*GARANSI BYD 6 TAHUN ATAU 150.000 KM, GARANSI BATERAI 8 TAHUN*
-
Focus Motor Belanja Mobil 26 Tahun Membangun Kepercayaan.
Nikmati standar baru kepemilikan mobil bekas dengan garansi komprehensif hingga 5 TAHUN untuk 155 KOMPONEN. BERSERTIFIKAT, BERPOLIS, dan didukung layanan CUSTOMER SERVICE PERSONAL untuk pengalaman berkendara yang aman dan tanpa khawatir.
-

-UNIT 100% BEBAS TABRAK DAN BEBAS BANJIR (garansi uang kembali)
-Dokumen ABSAH
-Bonus!
Free Detailing (pembersihan) 2x (1 tahun)

-
OTR KREDIT 645JT
OTR CASH BY CALL

Bunga Premium
Dp 221jt
Angs 14,580,500 x47 tlo

Dp 213jt
Angs 12,624,000 x59 tlo

UNTUK REQUEST DP / HITUNGAN LAIN, SILAKAN HUBUNGI KAMI

Harga kredit tertera adalah harga minimal kredit dengan tenor 4 & 5 tahun, diluar itu mengikuti harga Cash (karena kami mensubsidi refund bunga kepada anda)
-
Spesifikasi :
* Tangan Pertama Dari Baru, Pribadi
* ADAS (DRCC, RCTA, RCTB, LCW, BSD, LDW, AEB)
* Panoramic Glass Roof
* Dynaudio 12 Speaker
* Kapasitas Batre 82,56 kWh 390 kW Power (690 Nm) Blade Battery
* Akselerasi 0-100 km/jam Dalam 4,5 Detik
* Top Speed 215 KM/h
* Jarak Tempuh Full Batre 542 KM
* Voice Command Hi BYD
* Ambience Lighting Multi Colour, Flush Door Handle, 50W Wireless Charging With NFC
* Paddle Shift
* 10,2 Inch MID With HUD
* 15.6 inch Infotainment System With Apple Carplay & Android Auto (Rotatable/Bisa Di Putar Landscape/Potrait)
* Electric Semi Bucket Full Leather Seat With Lumbar Support (L/R)
* Dual U-LED Headlights
* Full Width Tail Lights
* 360 View Parking Camera, Parking Sensor
* Power Back Door
* Kaca Film Profilm
* Buku Service, NFC Card, Kunci Cadangan Tersedia

LOKASI : Bursa Otomotif Mangga Dua Square, Focus Motor, Jakarta Utara (ENR) (MDS)",BYD,Lainnya,,Lainnya,0-5.000,645000000.0
945864968,DP RENDAH Honda Brio 1.2 RS Bensin-AT 2022 KIGS,"""Honda Brio 1.2 RS Bensin-AT 2022 Abu
.
Khusus Harga Kredit : Rp 167,000,000
Khusus Harga Cash : Rp 170,000,000
TDP : Rp 15,000,000
Angsuran 4 tahun : Rp Ask me
Angsuran 5 tahun : Rp Ask me
.
Nikmati Promo di OLXmobbi - Jual - Beli - Tukar Tambah
Tenor panjang cicilan pasti ringan dan dapatkan saldo digital hingga 1.500.000
Dapatkan juga TDP terendah Dan Promo Trade In Suka- Suka
 (Terima Mobil merek dan Tahun Apapun Tanpa Syarat)
*S&K berlaku
.
Keunggulan Unit :
- Astra Certified
- Bebas Tabrak
- Bebas Banjir
- Kilometer Tidak Putaran
.
Berikut Spesiffikasi
- Dokumen Lengkap 
- Odometer : 36,499 km
- Transmisi : AT
- Pajak : 01 Dec 2026
- Plat : 
- Warna : Abu
- KN : KIGS
.
Mohon lakukan pembayaran booking fee / pelunasan melalui no rekening Bank BCA an PT. Serasi Mitra Mobil No. Rek: 2061/888/995
TDP promo hanya Berlaku jika:
- BI checking Bersih (tidak pernah ada keterlambatan pembayaran)
- Rumah Milik Pribadi
- Pemasukan/Gaji= 3x Angsuran.
* Bisa di bantu Rumah Kontrak dan BI checking bermasalah dengan TDP 30%* (S&K Berlaku)
.
Mengapa Anda harus membeli mobil di OLXmobbi? 
- Garansi Mesin hingga 1 tahun
- Gratis Biaya Jasa Perawatan
- Ada 2.000+ pilihan mobil bekas Mobil Bekas Berkualitas, Mobil lulus inspeksi dan tersertifikasi
- FREE HOME TEST DRIVE,
- Pilih Mobil? Pilih Yang Pasti
.
Kunjungi Kami Di : 
OLXMOBBI DEPOK Jl. Margonda No.23, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431
.
Wisnu - Sales Advisor
OLXmobbi
Ahlinya Mobil Bekas Berkualitas
""",Honda,Lainnya,,Lainnya,35.000-40.000,167000000.0
947700474,[ LOW KM 8RB ] Toyota GRANACE 2.8 Turbo Diesel TSS AT 2022/2023/2024,"BELI MOBIL TANPA KHAWATIR BERGARANSI 5 TAHUN!

Toyota GRANACE 2.8 Turbo Diesel TSS Pilot Seat 8 Seater AT Putih NIK 2023, PAJAK BULAN 7 (2027), ODOMETER ANTIK VERY LOW 8RB PERAK KM
-
Focus Motor Belanja Mobil 26 Tahun Membangun Kepercayaan.
Nikmati standar baru kepemilikan mobil bekas dengan garansi komprehensif hingga 5 TAHUN untuk 155 KOMPONEN. BERSERTIFIKAT, BERPOLIS, dan didukung layanan CUSTOMER SERVICE PERSONAL untuk pengalaman berkendara yang aman dan tanpa khawatir.

Belanja Mobil bukan hanya menjual mobil bekas. Kami jual mobil bekas dengan RASA AMAN seperti mobil baru.

5 BELANJA MOBIL PROMISE :
1. Mobil Terinspeksi 155 titik
2. ⁠TERGARANSI 5 tahun
3. ⁠Harga Transparan
4. ⁠Jaminan Trade-in/Buyback
5. ⁠After Sales yg baik (Mempunyai Customer Service Personal)

-UNIT 100% BEBAS TABRAK DAN BEBAS BANJIR (garansi uang kembali)
-Dokumen ABSAH
-BONUS! Free Detailing (pembersihan) 2x (1 tahun)
-
OTR KREDIT 1,242 M
OTR CASH BY CALL / WA

Bunga Premium
Dp 205jt
Angs 32.763.000 x47 tlo

Dp 183jt
Angs 28.701.500 x59 tlo

UNTUK REQUEST DP / HITUNGAN LAIN, SILAKAN HUBUNGI KAMI

Harga kredit tertera adalah harga minimal kredit dengan tenor 4 & 5 tahun, diluar itu mengikuti harga Cash (karena kami mensubsidi refund bunga kepada anda)
-
Spesifikasi :
* TOYOTA SAFETY SENSE (PCS, DRCC, LDA, AHB, PSB, TPMS, ICS)
* Engine diesel 2.8L 1GD-FTV 4-Silinder Turbo 174 Hp (450 Nm)
* Transmission 6 Speed Automatic
* Electric Sliding Door (L/R)
* AC Digital Triple Zone With Climate
* TV Roof Monitor
* Toyota Headunit LCD Touchscreen With Apple Carplay & Android Auto
* Electric Leather Seat (PILOT SEAT)
* Heater & Cooler Seat With Lumbar Support
* LED Projector Headlamp With DRL, Foglamp LED
* LED Tail Light
* SRS Airbags, ABS, EBD, BA, VSC COMPLETE SAFETY CAR
* 360 View Parking Camera, Parking Sensor, Traction Control, Auto Start Stop
* Kaca Film Llumar
* Buku Manual + Service, Kunci Serep Tersedia

LOKASI : Bursa Otomotif Mangga Dua Square, Focus Motor, Jakarta Utara. (TGU) (A)",Toyota,Lainnya,,Lainnya,5.000-10.000,1242000000.0
948146814,Bunga 0% DP50% LowOdo4rb LM 350 H 4X2 2025/2024 LM350H LM35O LM 350 LM,"Paket Smart Cashflow. Bunga 0% DP 50%. Sisa Flat 12x
Instant Approval Test Drive Hari ini Besok Delivery
Garansi Otospector sd 2027. Siap Gencheck

LEXUS LM350H HYBRID

NIK 2024
Graphite Black Glass Flake
Engine 2.500 CC
ODO 4.XXX KM 
Tax Februari 2027

Additional Information:
- 7 Seater
- Audio System by Mark Levinson
- Power Back Door & Sliding Door
- Electric Hybrid Powertrain
- Lexus Integrated Multimedia System
- Adaptive Cruise Control
- Rear Seat Table
- Rear Roof Monitor (Entertainment System)
- Electric Pilot Seat with Tabs
- Cabin Shades
- Ventilated Seat
- Lexus Safety System+ 3.0
- Memory Seat, Massage Seat

Harga Kredit 1.945 M
Harga Cash 2.035 M

PROMO
Paket Smart Cashflow
Bunga 0% Murni
Cukup Tdp 50%
Sisanya Flat Prorate 12x
Tenor Fixed 1 Tahun
Bebas Admin, Fiducia & Provisi

Untuk janjian test drive/kirim orang untuk inspeksi
Contact : Steve 0878/1112/2010

*GARANSI Uang Kembali 1000%*
Lulus inspeksi @otospector
Bebas Banjir & Bebas Major Accident
Record mobil sesuai odometer
Dokumen mobil asli keabsahannya

Cek variasi stok unit di Instagram 
@chrisauto_garage
@chrisauto_official

Chris Auto Garage | CAG
Bursa Otomotif Sunter 
Blok D2-D3 | Blok C1A- 1B
(Masuk Pintu 5 Lurus Paling Ujung) 
Jl. Yos Sudarso Kav 87-88
Jakarta Utara
(Search Google Map -> Ketik Chris Auto Garage) 

Operational Hour
(Minggu / Tanggal Merah TETAP BUKA)
Senin - Sabtu 08.00-17.30
Minggu 10.00-16.00
Diluar jam operasional tetap kami layani by appointment",Lexus,Lainnya,,Lainnya,0-5.000,1945000000.0
945717327,DP RENDAH Mitsubishi Xpander 1.5 Ultimate Bensin-AT 2018 VODS,"""Mitsubishi Xpander 1.5 Ultimate Bensin-AT 2018 Hitam
.
Khusus Harga Kredit : Rp 188,000,000
Khusus Harga Cash : Rp 192,000,000
TDP : Rp 17,000,000
Angsuran 4 tahun : Rp Ask me
Angsuran 5 tahun : Rp Ask me
.
Nikmati Promo di OLXmobbi - Jual - Beli - Tukar Tambah
Tenor panjang cicilan pasti ringan dan dapatkan saldo digital hingga 1.500.000
Dapatkan juga TDP terendah Dan Promo Trade In Suka- Suka
 (Terima Mobil merek dan Tahun Apapun Tanpa Syarat)
*S&K berlaku
.
Keunggulan Unit :
- Astra Certified
- Bebas Tabrak
- Bebas Banjir
- Kilometer Tidak Putaran
.
Berikut Spesiffikasi
- Dokumen Lengkap 
- Odometer : 89,320 km
- Transmisi : AT
- Pajak : 01 Aug 2025
- Plat : 
- Warna : Hitam
- KN : VODS
.
Mohon lakukan pembayaran booking fee / pelunasan melalui no rekening Bank BCA an PT. Serasi Mitra Mobil No. Rek: 2061/888/995
TDP promo hanya Berlaku jika:
- BI checking Bersih (tidak pernah ada keterlambatan pembayaran)
- Rumah Milik Pribadi
- Pemasukan/Gaji= 3x Angsuran.
* Bisa di bantu Rumah Kontrak dan BI checking bermasalah dengan TDP 30%* (S&K Berlaku)
.
Mengapa Anda harus membeli mobil di OLXmobbi? 
- Garansi Mesin hingga 1 tahun
- Gratis Biaya Jasa Perawatan
- Ada 2.000+ pilihan mobil bekas Mobil Bekas Berkualitas, Mobil lulus inspeksi dan tersertifikasi
- FREE HOME TEST DRIVE,
- Pilih Mobil? Pilih Yang Pasti
.
Kunjungi Kami Di : 
OLXMOBBI DEPOK Jl. Margonda No.23, Depok, Kec. Pancoran Mas, Kota Depok, Jawa Barat 16431
.
Wisnu - Sales Advisor
OLXmobbi
Ahlinya Mobil Bekas Berkualitas
""",Mitsubishi,Lainnya,,Lainnya,85.000-90.000,188000000.0
948142053,[GARANSI 5TH AWD LOW KM] Land Rover Defender 90SE 90 SE 2020/2021/2022,"BELI MOBIL TANPA KHAWATIR BERGARANSI 5 TAHUN!

Land Rover LandRover Defender 90SE 90 SE P300 X Dynamic 4x4 AWD 2.0 AT Putih NIK 2021, PAJAK BULAN 10 (2027), ODOMETER 18RB KM Low !!
-
Focus Motor Belanja Mobil 26 Tahun Membangun Kepercayaan.
Nikmati standar baru kepemilikan mobil bekas dengan garansi komprehensif hingga 5 TAHUN untuk 155 KOMPONEN. BERSERTIFIKAT, BERPOLIS, dan didukung layanan CUSTOMER SERVICE PERSONAL untuk pengalaman berkendara yang aman dan tanpa khawatir.

Belanja Mobil bukan hanya menjual mobil bekas. Kami jual mobil bekas dengan RASA AMAN seperti mobil baru.

5 BELANJA MOBIL PROMISE :
1. Mobil Terinspeksi 155 titik
2. ⁠TERGARANSI 5 tahun
3. ⁠Harga Transparan
4. ⁠Jaminan Trade-in/Buyback
5. ⁠After Sales yg baik (Mempunyai Customer Service Personal)

-UNIT 100% BEBAS TABRAK DAN BEBAS BANJIR (garansi uang kembali)
-Dokumen ABSAH
-BONUS! Free Detailing (pembersihan) 2x (1 tahun)
-
OTR KREDIT 1.780 M
OTR CASH BY CALL

*Bunga Premium*
Dp 386jt
Angs 44.770.000 x47 tlo

Dp 362jt
Angs 38.736.500 x59 tlo

UNTUK REQUEST DP / HITUNGAN LAIN, SILAKAN HUBUNGI KAMI

Harga kredit tertera adalah harga minimal kredit dengan tenor 4 & 5 tahun, diluar itu mengikuti harga Cash (karena kami mensubsidi refund bunga kepada anda)
-
Spesifikasi :
* Tangan Pertama dari Baru, PT
* Electric Panoramic Sunroof
* Engine 2.000 CC Turbocharged 296 Hp & 400 Nm 
* Akselerasi (0-100 km/j) on 7,7 Detik
* Meridian Sound System
* 8 Speed Transmission AWD Automatic
* Premium Cabin Lightning
* Cruise Control, Paddle Shift, Audio Steering Switch
* Infotainment 10.25"" Pivi Pro with Android Auto & Apple Carplay
* Wireless Charging
* Electric Leather Seat with Lumbar Support
* Matrix LED Headlight Headlamp with Signature DRL
* 360 View Park Camera, Park Sensors, Electric Park Brake, Traction Control
* Hill Descent Control, Dynamic Stability Control, Roll Stability Control, DSR
* Kunci Serep Tersedia


LOKASI : Bursa Otomotif Mangga Dua Square, Focus Motor, Jakarta Utara (SMO) (BNT)",Land Rover,Lainnya,,Lainnya,15.000-20.000,1780000000.0
948149206,DP MURAH Daihatsu Sirion 1.3 R Bensin-AT 2023 CALKD,"""Daihatsu Sirion 1.3 R Bensin-AT 2023
.
MOBIL BEKAS BERKUALITAS | SIAP PAKAI & TERPERCAYA
.
Dapatkan mobil impian Anda dengan kondisi prima, sudah melalui proses inspeksi menyeluruh, dan siap digunakan tanpa ribet. Cocok untuk kebutuhan harian, keluarga, maupun bisnis.
.
SKEMA HARGA
Kredit Only (Best Deal): Rp 185,000,000
Tersedia 2 pilihan paket sesuai kebutuhan Anda
1. Paket PROMO Kredit DP Ringan
* DP : Rp 20,000,000
* Cicilan 4 Tahun : Rp 6,150,000 / bulan
* Cicilan 5 Tahun : Rp 5,300,000 / bulan
.
2. Paket PROMO Kredit Instan Approval (One Day Approval)
* DP: Rp 98,000,000
* Cicilan 4 Tahun: Rp 3,450,000 / bulan
* Cicilan 5 Tahun: Rp 2,950,000 / bulan
.
Harga Cash: Call me for best price
.
DETAIL UNIT:
* Dokumen lengkap a/n perorangan
* Odometer: 47,713 km (asli, tidak putaran)
* Transmisi: AT
* Pajak: Aktif 31-May-2027
* Plat: Ganjil/Genap
* Mesin halus, siap pakai
* KN : CALKD
.
KEUNGGULAN UNIT:
* Kondisi overall terawat & siap digunakan
* Interior bersih & nyaman
* Eksterior masih terlihat fresh & menarik
* Performa mesin responsif & stabil
* Cocok untuk pemakaian harian maupun keluarga

.
BENEFIT BELI DI OLXmobbi:
1. Astra Certified
   (Bebas tabrak, bebas banjir & lulus inspeksi menyeluruh)
2. Kilometer Asli
   (Dijamin tidak putaran, transparan & terverifikasi)
3. Garansi Mesin hingga 1 Tahun
   (Mesin, transmisi, AC & sistem pengereman – plafon hingga Rp 80 juta dari GARDA OTO)
4. Buy Back Warranty 7 Hari
   (Jaminan uang kembali jika unit tidak sesuai)
5. Gratis Asuransi TLO 1 Tahun
6. Home Test Drive
   (Test drive langsung dari rumah)
7. 2.000+ Pilihan Mobil Berkualitas
   (Semua unit lulus inspeksi & tersertifikasi)
.
Note: Syarat & Ketentuan Berlaku
.
KENAPA HARUS BELI DI SINI?
Unit sudah terseleksi, transparan, dan didukung layanan purna jual yang jelas. Beli mobil jadi lebih aman, nyaman, dan tanpa khawatir.
.
HUBUNGI SEKARANG!
Unit terbatas & promo bisa berubah kapan saja.
Jangan sampai kehabisan!
.
INFORMASI PEMBAYARAN
Mohon lakukan pembayaran hanya melalui rekening resmi berikut untuk booking fee / pelunasan:
BCA 2061/888/995 a/n PT Serasi Mitra Mobil
OLX Mobbi PIK
.
Himbauan Penting:
Demi keamanan transaksi, harap tidak melakukan pembayaran di luar rekening resmi perusahaan. Segala bentuk transaksi di luar rekening tersebut bukan menjadi tanggung jawab kami.""",Daihatsu,Lainnya,,Lainnya,45.000-50.000,185000000.0
948199277,LCI 7 SEATER BUNGA 4% BRI 2028 Odo 11k BMW X5 Xdrive Xline 40i 2023 .,"KHUSUS yang ingin barang BAGUS
KHUSUS yang ingin bunga MURAH dan BISA BERHITUNG
KHUSUS untuk orang yang tidak terpukau dengan HARGA MURAH tapi Angsuran lebih MAHAL daripada HITUNGAN KAMI.
.
Lulus Inspeksi Dan Sertifikasi OTOSPECTOR, Mobil bebas Tabrakan dan Banjir.
MOBIL BERGARANSI MESIN DAN TRANSMISI SELAMA 2 TAHUN
.
Harga khusus Tunai Rp 1,085,000,000 NEGO 
Harga khusus kredit Rp   995,000,000 NEGO 
*
Paket kredit dp mumer dan bunga murah
.
Total pembayaran pertama Rp 230,000,000  
Angsuran 23 bulan rp 42,500,000 BUNGA HANYA 4.25% 
.
Total pembayaran pertama Rp 210,000,000  
Angsuran 35 bulan rp 29,800,000 BUNGA HANYA 4.25% 
.
Total pembayaran pertama rp 200,000,000  
Angsuran 47 bulan rp 23,800,000 BUNGA HANYA 4.75%  
.
Total pembayaran pertama rp 190,000,000  
Angsuran 59 bulan rp 20,400,000 BUNGA HANYA 5.25% 
. 
TDP sudah termasuk : 
- Down Payment 
- angsuran 1 
- administrasi 
- Asuransi 1 Tahun ALL RISK 
- asuransi tahun selanjutnya TLO ( Total Lost Only ) 
- PROVISI HANYA 1% 
- 
Yuk mari berhitung, kenapa harus beli mobil di PASKAH Mobil, karena kami MENGEMBALIKAN CASH BACK semua yang di berikan leasing KEPADA ANDA, terima kasih
.	 
Harga tersebut masih bisa di Negosiasi Hanya Setelah Datang Lihat Unit di Showroom Kami.. 
* 
Keterangan Unit Kendaraan : 
*
BMW X5 40i XDRIVE Xline
3.000cc Twin Power Turbo
Faktur 2023
Tahun Pembuatan / NIK 2023
*
- Nomor Polisi B 53 MTA / GANJIL Pajak terbayar 2 JULI 2027 
- PAJAK PERTAHUN Rp 22.300.000 
- .
- ODO 11K Mile 
- Odo = 18 kilometer 
- Bmw Waranty Part 10 Agustus 2028 
- Bmw Service 10 Juli 2028
- .
Spec Eksterior :
* PANORAMIC SUNROOF
* 8 Speed Steptronic Sport Transmission
* Paddle Shift
* Adaptive 2 axle AIR SUSPENSION selectable 5 levels
* Head lamp BMW Adaptive Laser Light System
* Day Running Light (DRL)
* LED Stop lamp
* LED Fog lamp
* Spion Sen
* Sensor Parking
* Rain Sensor
* Camera Parking
* Power Split Tailgate
* Velg 20” Light Alloy Wheels V-spoke Style
* Run Flat Tyre
*
Spec Interior :
*  Digital Spedo Meter BMW iDrive 7.0
*  Head unit BMW Live Cockpit 12,3” Touch Screen Fully Digital
*  Harman Kardon Premium Speakers
*  Wireless Apple Carplay & Android Auto
*  Wireless Charging
*  Rear Seats Entertainments with 10 inch Monitor Touch Screen
*  BMW Driving Assistant, Lane Keeping Assist, Blind Spot Monitoring
*  Auto Park & Park Assist
*  Automatic AC 4 Zone Control
*  Ambient Lights
*  Full Electric Seats with 1 Memory Seats
*  Leather Seats
*  Cupholder Temperature
*  Cruise Control
*  Steering Audio Control
*  Keyless Button and Engine Start Stop
*  Navigation / GPS Indonesia
*  Rotary Command
*  SPORT / COMFORT / ECO PRO Mode
*  Automated sliding and anti slip rail, Flex Net and Electric Rolling Cover
.
etc, Standart BMW X5 40i XDRIVE Xline G05 2023 Nik 2023
- . 
Outlet : 
Paskah Mobil Mangga Dua Square 
Jl. Gunung sahari raya no 1 
Mangga Dua Square 
Lantai LG Lot M15-16 
Jakarta Utara 
.
ingin melihat stock mobil kami yang lain. silahkan klik VIEW PROFILE di akhir DISKRIPSI ini.
Tolong di favoritkan dan di follow ya teman2...
.
Terima Tukar Tambah Dan Berani Beli Mobil Yang Berkwalitas Istimewa
*
Terima Titip Jual beli Mobil. dengan surat surat Lengkap
.
SALAM 
PASKAH MOBIL",BMW,Lainnya,,Lainnya,10.000-15.000,995000000.0
